From	To
Q7KZI7	ENSG00000072518.23
Q8IYB5	ENSG00000112305.15
Q8N682	ENSG00000136048.14
Q8WUI4	ENSG00000061273.18
O60664	ENSG00000105355.9
Q8IXK0	ENSG00000134686.21
Q8IY95	ENSG00000170088.14
O75792	ENSG00000104889.7
Q96RK0	ENSG00000079432.9
Q9NPE6	ENSG00000061656.11
Q8IXZ3	ENSG00000164651.18
O14640	ENSG00000107404.21
Q15746	ENSG00000065534.20
Q969T9	ENSG00000132471.12
Q9BUH8	ENSG00000183092.18
P49591	ENSG00000031698.13
Q8IYW5	ENSG00000163961.4
O95825	ENSG00000205758.12
Q9P0P8	ENSG00000130349.10
P06702	ENSG00000163220.11
Q8TF65	ENSG00000137960.6
Q9BX73	ENSG00000169490.17
P61158	ENSG00000115091.12
Q9NZQ0	ENSG00000115137.12
P13056	ENSG00000120798.17
Q5SY16	ENSG00000162408.11
Q9NXX6	ENSG00000107672.15
Q9Y3R5	ENSG00000142197.13
P57727	ENSG00000160183.17
P60903	ENSG00000197747.9
P01033	ENSG00000102265.12
Q147U7	ENSG00000214097.5
Q9NYJ7	ENSG00000090932.11
O43711	ENSG00000164438.6
P60201	ENSG00000123560.14
Q8N3T6	ENSG00000181234.10
P81534	ENSG00000176797.4
P81534	ENSG00000177243.3
P81534	ENSG00000273641.2
P81534	ENSG00000285376.2
P81534	ENSG00000284978.2
Q13190	ENSG00000162236.13
Q12983	ENSG00000176171.12
Q5T6X5	ENSG00000173612.10
Q9Y375	ENSG00000137806.10
Q16827	ENSG00000151490.15
Q13885	ENSG00000137267.7
Q9HC23	ENSG00000163421.9
A8MXT2	ENSG00000182798.10
P42224	ENSG00000115415.21
Q8IYV9	ENSG00000182264.9
O60921	ENSG00000136273.13
Q6P5W5	ENSG00000147804.10
P12532	ENSG00000237289.10
P12532	ENSG00000223572.10
Q8NHQ9	ENSG00000111364.16
Q96LR4	ENSG00000163377.16
O60879	ENSG00000147202.19
C9J202	ENSG00000251287.9
Q02086	ENSG00000167182.16
O75909	ENSG00000090061.17
Q07343	ENSG00000184588.18
P46531	ENSG00000148400.13
Q86XP1	ENSG00000102780.17
Q9UPQ7	ENSG00000121440.15
O15270	ENSG00000100596.8
Q9BXT8	ENSG00000132972.19
P54274	ENSG00000147601.15
Q9Y4H2	ENSG00000185950.9
O95965	ENSG00000198542.15
O75388	ENSG00000142511.4
Q6UXB1	ENSG00000188624.3
Q9BTE3	ENSG00000197771.13
Q8N628	ENSG00000196242.10
P05177	ENSG00000140505.7
A2RRP1	ENSG00000151779.14
Q8N8E3	ENSG00000154240.18
Q5EBM0	ENSG00000134326.12
Q96E22	ENSG00000153989.8
O76041	ENSG00000078114.19
Q3B726	ENSG00000105849.6
P52789	ENSG00000159399.10
Q5VVY1	ENSG00000203740.4
Q6ISB3	ENSG00000083307.12
Q8NC96	ENSG00000089818.18
Q9Y324	ENSG00000119616.11
Q13542	ENSG00000148730.7
Q14185	ENSG00000150760.13
Q08AF3	ENSG00000166750.10
P27144	ENSG00000162433.15
P98174	ENSG00000102302.8
P51686	ENSG00000173585.18
Q9Y661	ENSG00000182601.7
Q9HAV5	ENSG00000131080.15
Q9NS85	ENSG00000154975.14
Q9H9G7	ENSG00000126070.20
P30047	ENSG00000137880.6
Q9C091	ENSG00000141449.16
P58107	ENSG00000261150.3
O00329	ENSG00000171608.18
Q96CB9	ENSG00000117481.11
Q2QL34	ENSG00000156968.9
Q2QL34	ENSG00000275543.4
Q15678	ENSG00000152104.12
Q16587	ENSG00000185252.19
Q05823	ENSG00000135828.11
Q8NBQ5	ENSG00000198189.11
P07195	ENSG00000111716.14
Q92527	ENSG00000106013.15
Q6H8Q1	ENSG00000163995.22
Q9H869	ENSG00000163374.21
Q9H5Z1	ENSG00000101452.15
Q9H0C5	ENSG00000064726.10
Q14CM0	ENSG00000169933.17
P52756	ENSG00000003756.17
Q8IY81	ENSG00000108592.17
P48357	ENSG00000116678.20
Q9HCF6	ENSG00000083067.27
Q7Z6R9	ENSG00000008197.5
Q9BZE1	ENSG00000116221.15
O00744	ENSG00000169884.14
Q5T0U0	ENSG00000151773.13
Q6TDP4	ENSG00000187961.15
Q9BUV8	ENSG00000101084.19
Q96B21	ENSG00000151715.8
Q96DH6	ENSG00000153944.12
P56159	ENSG00000151892.16
P37059	ENSG00000086696.11
Q9H7F4	ENSG00000226479.4
Q7Z6A9	ENSG00000186265.10
Q96A22	ENSG00000149300.10
Q8IU60	ENSG00000172795.17
Q8WZ74	ENSG00000077063.11
Q96NJ3	ENSG00000267508.6
Q5JSL3	ENSG00000147251.16
Q9UI42	ENSG00000128510.12
Q9NRP0	ENSG00000198856.13
Q96HF1	ENSG00000145423.5
Q8WUY1	ENSG00000130193.8
Q9UDX5	ENSG00000242114.6
O14669	ENSG00000126460.11
Q8N165	ENSG00000175087.10
Q9Y535	ENSG00000100413.17
O75461	ENSG00000169016.17
P00973	ENSG00000089127.15
Q8TDJ6	ENSG00000104093.14
Q4G0W2	ENSG00000188542.10
O00421	ENSG00000121797.10
Q9HBY0	ENSG00000074771.4
Q16706	ENSG00000112893.10
Q96PE7	ENSG00000124370.11
Q9NQG1	ENSG00000101363.13
Q9NQG1	ENSG00000291969.1
P54105	ENSG00000074201.9
Q9P2W7	ENSG00000109956.13
Q8IVC4	ENSG00000171574.19
Q9UL46	ENSG00000100911.16
Q9UL46	ENSG00000284889.2
Q2PZI1	ENSG00000173852.16
Q6ZRI6	ENSG00000167173.19
A6NIX2	ENSG00000142279.13
Q96N67	ENSG00000116641.18
P19957	ENSG00000124102.5
O95409	ENSG00000043355.12
Q9UN73	ENSG00000081842.18
Q9UN73	ENSG00000291654.1
O95263	ENSG00000113231.14
Q6PEY1	ENSG00000167874.7
P54289	ENSG00000153956.17
P21333	ENSG00000196924.19
P61221	ENSG00000164163.11
P20930	ENSG00000143631.11
Q9UKC9	ENSG00000153558.17
Q13352	ENSG00000142856.17
P62491	ENSG00000103769.10
P24941	ENSG00000123374.11
Q9NQZ3	ENSG00000188120.16
Q8TB72	ENSG00000055917.17
Q01415	ENSG00000156958.15
Q9NVF7	ENSG00000143756.12
P48023	ENSG00000117560.8
Q9BZX4	ENSG00000114547.10
Q8TF66	ENSG00000172061.9
P33681	ENSG00000121594.12
Q6UWV2	ENSG00000160588.10
Q15637	ENSG00000168066.22
Q9ULQ1	ENSG00000186815.13
Q53GG5	ENSG00000154553.17
Q6P1M9	ENSG00000125962.16
Q4VC31	ENSG00000160124.9
Q8WYP5	ENSG00000153207.16
O15484	ENSG00000149260.18
Q15389	ENSG00000154188.10
Q9NPH3	ENSG00000196083.11
Q9UEW8	ENSG00000198648.12
Q9NYQ7	ENSG00000008300.17
Q6P2P2	ENSG00000164169.13
Q8IYH5	ENSG00000036549.13
P19823	ENSG00000151655.19
O43809	ENSG00000167005.14
Q96DW6	ENSG00000144659.13
P54252	ENSG00000066427.25
O14862	ENSG00000163568.16
P19367	ENSG00000156515.25
O15397	ENSG00000133704.10
Q9UID3	ENSG00000149823.10
O43555	ENSG00000125787.11
Q9P2H3	ENSG00000068885.15
Q9BX79	ENSG00000137868.19
Q9BX79	ENSG00000288257.1
