pert_id,uniprot_id,inchi_key,assay_value,binding,atc_agonist,atc_inhibitor
BRD-K49328571,P06241,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,1.5514285714285714,True,False,True
BRD-K49328571,P07333,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,3.9311666666666665,True,False,True
BRD-K49328571,P07947,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,1.0166666666666666,True,False,True
BRD-K49328571,P07948,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,2.585,True,False,True
BRD-K49328571,P08631,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,9.9,True,False,True
BRD-K49328571,P09769,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,2.0,True,False,True
BRD-K49328571,P12931,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,1.5025500005960466,True,False,True
BRD-K49328571,P21709,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,7.733333333333333,True,False,True
BRD-K49328571,P29320,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,0.093,True,False,True
BRD-K49328571,P29322,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,0.24,True,False,True
BRD-K49328571,P29323,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,2.295,True,False,True
BRD-K49328571,P41240,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,6.325,True,False,True
BRD-K49328571,P42681,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,1.5,True,False,True
BRD-K49328571,P42684,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,1.4466666666666665,True,False,True
BRD-K49328571,P42685,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,1.8733333333333333,True,False,True
BRD-K49328571,P51451,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,0.21,True,False,True
BRD-K49328571,P51813,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,1.4,True,False,True
BRD-K49328571,P54756,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,1.4933333333333334,True,False,True
BRD-K49328571,P54760,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,1.5599999999999998,True,False,True
BRD-K49328571,P54762,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,0.45,True,False,True
BRD-K49328571,P54764,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,3.1333333333333333,True,False,True
BRD-K49328571,P57059,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,3.9,True,False,True
BRD-K49328571,Q06187,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,3.158333333333333,True,False,True
